lon,lat,date,day_of_week,month_name
2.177,41.413,2019-10-22,Tuesday,October
2.176,41.413,2019-10-22,Tuesday,October
2.176,41.413,2019-08-18,Sunday,August
2.177,41.413,2019-11-20,Wednesday,November
2.176,41.413,2019-01-06,Sunday,January
2.176,41.412,2019-06-03,Monday,June
2.176,41.412,2019-08-01,Thursday,August
2.176,41.412,2019-12-09,Monday,December
2.176,41.412,2019-05-17,Friday,May
2.176,41.412,2019-11-28,Thursday,November
2.177,41.412,2019-10-14,Monday,October
2.176,41.412,2019-06-10,Monday,June
2.176,41.412,2019-06-10,Monday,June
2.176,41.412,2019-07-13,Saturday,July
2.176,41.412,2019-02-22,Friday,February
2.176,41.412,2019-05-29,Wednesday,May
2.176,41.412,2019-11-14,Thursday,November
2.174,41.412,2019-05-20,Monday,May
2.175,41.412,2019-01-02,Wednesday,January
2.176,41.412,2019-07-11,Thursday,July
2.174,41.412,2019-02-15,Friday,February
2.175,41.412,2019-10-02,Wednesday,October
2.176,41.412,2019-11-04,Monday,November
2.176,41.412,2019-06-30,Sunday,June
2.176,41.412,2019-05-19,Sunday,May
2.174,41.412,2019-06-17,Monday,June
2.175,41.412,2019-09-15,Sunday,September
2.174,41.412,2019-09-27,Friday,September
2.175,41.412,2019-06-11,Tuesday,June
2.174,41.412,2019-12-11,Wednesday,December
2.175,41.412,2019-12-11,Wednesday,December
2.175,41.412,2019-01-22,Tuesday,January
2.177,41.411,2019-02-23,Saturday,February
2.177,41.411,2019-10-04,Friday,October
2.172,41.411,2019-08-22,Thursday,August
2.172,41.411,2019-02-14,Thursday,February
2.173,41.411,2019-01-01,Tuesday,January
2.172,41.411,2019-11-26,Tuesday,November
2.174,41.411,2019-06-24,Monday,June
2.186,41.411,2019-07-11,Thursday,July
2.219,41.411,2019-12-13,Friday,December
2.174,41.411,2019-10-06,Sunday,October
2.173,41.41,2019-03-10,Sunday,March
2.172,41.41,2019-11-04,Monday,November
2.174,41.411,2019-01-31,Thursday,January
2.173,41.41,2019-10-07,Monday,October
2.173,41.41,2019-10-24,Thursday,October
2.176,41.411,2019-03-24,Sunday,March
2.172,41.41,2019-11-03,Sunday,November
2.173,41.41,2019-04-16,Tuesday,April
2.172,41.411,2019-02-28,Thursday,February
2.219,41.411,2019-04-26,Friday,April
2.173,41.41,2019-10-22,Tuesday,October
2.173,41.41,2019-02-18,Monday,February
2.176,41.411,2019-07-04,Thursday,July
2.173,41.41,2019-02-08,Friday,February
2.173,41.41,2019-08-04,Sunday,August
2.176,41.411,2019-04-04,Thursday,April
2.173,41.41,2019-11-07,Thursday,November
2.173,41.41,2019-12-18,Wednesday,December
2.177,41.411,2019-05-11,Saturday,May
2.177,41.411,2019-05-04,Saturday,May
2.173,41.41,2019-04-01,Monday,April
2.173,41.409,2019-04-14,Sunday,April
2.178,41.409,2019-10-04,Friday,October
2.147,41.408,2019-04-27,Saturday,April
2.185,41.408,2019-12-07,Saturday,December
2.159,41.407,2019-08-13,Tuesday,August
2.146,41.407,2019-09-16,Monday,September
2.173,41.408,2019-09-18,Wednesday,September
2.173,41.408,2019-01-18,Friday,January
2.185,41.408,2019-01-26,Saturday,January
2.172,41.408,2019-04-23,Tuesday,April
2.173,41.408,2019-03-15,Friday,March
2.172,41.408,2019-03-28,Thursday,March
2.172,41.407,2019-05-22,Wednesday,May
2.172,41.407,2019-07-16,Tuesday,July
2.171,41.407,2019-03-02,Saturday,March
2.172,41.407,2019-07-28,Sunday,July
2.173,41.407,2019-03-29,Friday,March
2.185,41.408,2019-03-25,Monday,March
2.171,41.407,2019-10-19,Saturday,October
2.172,41.407,2019-01-28,Monday,January
2.172,41.407,2019-05-29,Wednesday,May
2.172,41.407,2019-07-05,Friday,July
2.172,41.407,2019-06-13,Thursday,June
2.173,41.407,2019-09-27,Friday,September
2.171,41.407,2019-04-20,Saturday,April
2.171,41.407,2019-11-12,Tuesday,November
2.171,41.407,2019-02-02,Saturday,February
2.172,41.407,2019-01-10,Thursday,January
2.172,41.407,2019-01-02,Wednesday,January
2.172,41.407,2019-12-26,Thursday,December
2.173,41.407,2019-01-18,Friday,January
2.174,41.407,2019-10-22,Tuesday,October
2.185,41.408,2019-09-01,Sunday,September
2.171,41.407,2019-04-01,Monday,April
2.172,41.407,2019-08-16,Friday,August
2.172,41.407,2019-10-07,Monday,October
2.172,41.407,2019-02-16,Saturday,February
2.172,41.407,2019-05-01,Wednesday,May
2.173,41.407,2019-04-03,Wednesday,April
2.171,41.407,2019-10-14,Monday,October
2.171,41.407,2019-01-28,Monday,January
2.172,41.407,2019-12-24,Tuesday,December
2.172,41.407,2019-03-01,Friday,March
2.172,41.407,2019-11-22,Friday,November
2.172,41.407,2019-05-07,Tuesday,May
2.168,41.407,2019-08-22,Thursday,August
2.146,41.407,2019-01-30,Wednesday,January
2.159,41.408,2019-08-08,Thursday,August
2.174,41.407,2019-12-07,Saturday,December
2.184,41.408,2019-12-08,Sunday,December
2.146,41.408,2019-03-29,Friday,March
2.159,41.408,2019-02-03,Sunday,February
2.171,41.407,2019-03-13,Wednesday,March
2.171,41.407,2019-10-09,Wednesday,October
2.171,41.407,2019-12-04,Wednesday,December
2.172,41.407,2019-08-10,Saturday,August
2.172,41.407,2019-05-03,Friday,May
2.172,41.407,2019-01-04,Friday,January
2.172,41.407,2019-02-11,Monday,February
2.173,41.407,2019-05-20,Monday,May
2.184,41.408,2019-06-29,Saturday,June
2.171,41.407,2019-02-05,Tuesday,February
2.171,41.407,2019-02-12,Tuesday,February
2.171,41.407,2019-04-13,Saturday,April
2.171,41.407,2019-03-05,Tuesday,March
2.171,41.407,2019-06-07,Friday,June
2.172,41.407,2019-09-08,Sunday,September
2.172,41.407,2019-10-27,Sunday,October
2.172,41.407,2019-01-23,Wednesday,January
2.172,41.407,2019-09-29,Sunday,September
2.173,41.407,2019-01-11,Friday,January
2.171,41.407,2019-09-09,Monday,September
2.171,41.407,2019-08-12,Monday,August
2.172,41.407,2019-08-26,Monday,August
2.172,41.407,2019-10-26,Saturday,October
2.172,41.407,2019-09-29,Sunday,September
2.172,41.407,2019-06-21,Friday,June
2.173,41.407,2019-02-17,Sunday,February
2.183,41.409,2019-06-14,Friday,June
2.16,41.408,2019-02-14,Thursday,February
2.171,41.407,2019-01-24,Thursday,January
2.171,41.407,2019-10-26,Saturday,October
2.171,41.407,2019-07-10,Wednesday,July
2.171,41.407,2019-06-07,Friday,June
2.171,41.407,2019-07-31,Wednesday,July
2.172,41.407,2019-11-09,Saturday,November
2.172,41.407,2019-03-18,Monday,March
2.172,41.407,2019-12-13,Friday,December
2.172,41.407,2019-06-28,Friday,June
2.173,41.407,2019-07-30,Tuesday,July
2.17,41.407,2019-09-03,Tuesday,September
2.171,41.407,2019-04-18,Thursday,April
2.171,41.407,2019-04-06,Saturday,April
2.172,41.407,2019-06-30,Sunday,June
2.172,41.407,2019-08-17,Saturday,August
2.172,41.407,2019-04-09,Tuesday,April
2.172,41.407,2019-12-05,Thursday,December
2.173,41.407,2019-05-28,Tuesday,May
2.17,41.407,2019-02-03,Sunday,February
2.17,41.406,2019-03-20,Wednesday,March
2.171,41.406,2019-03-21,Thursday,March
2.171,41.406,2019-03-12,Tuesday,March
2.171,41.406,2019-08-20,Tuesday,August
2.171,41.406,2019-03-31,Sunday,March
2.171,41.406,2019-09-04,Wednesday,September
2.172,41.406,2019-06-13,Thursday,June
2.172,41.406,2019-10-09,Wednesday,October
2.172,41.406,2019-10-24,Thursday,October
2.172,41.406,2019-05-24,Friday,May
2.172,41.406,2019-09-20,Friday,September
2.173,41.406,2019-03-16,Saturday,March
2.17,41.406,2019-12-07,Saturday,December
2.17,41.406,2019-08-06,Tuesday,August
2.171,41.406,2019-06-07,Friday,June
2.171,41.406,2019-02-12,Tuesday,February
