name,category,address,lat,lon
Centre Educatiu Thau,Centre,Av Esplugues 49.0 ,41.38764005512567,2.10528876791072
Ateneu  Sant Andreu,otro,Carrer de l'Abat Odó 71.0 ,41.4324898639079,2.1853030314588358
Jardins d'Elvira Farreras Valentí,Jardins,C Manacor 17.0 ,41.407464947326254,2.1430348062786257
Casal de Barri Font d'en Fargues,otro,C Pedrell 67.0 ,41.424333431530485,2.1652481090205704
Associació Rambla de Catalunya,otro,Rambla de Catalunya 61.0 61.0,41.39077433577668,2.163589599574425
Fàbrica de Creació Graner,otro,C Jane Addams 14.0 ,41.36152379729631,2.1359750197791345
Escola Mossèn Jacint Verdaguer,Escola,C Lleida 32.0 ,41.37332070884572,2.154824350891146
Centre Esportiu Municipal Putxet,Centre,C Marmellà 23.0 ,41.40972803896788,2.141295887779283
Universitat de Barcelona,otro,Gran Via de les Corts Catalanes 585.0 ,41.38657708352391,2.164030568391206
Funicular Vallvidrera - FGC,otro,Carrer de les Alberes 16.0 ,41.41422846437415,2.1059462512020857
Funicular Tibidabo - Cuca de Llum,otro,Plaça del Doctor Andreu 1.0 2.0,41.41631050210694,2.131411684356236
Tramvia Blau Tibidabo-TMB,otro,Avinguda del Tibidabo 2.0 ,41.41053468316915,2.137021984976944
Sala El Molino,otro,Carrer de Vila i Vilà 99.0 ,41.37458590109832,2.167271088906495
Institut Nacional d'Educació Física de Catalunya *Barcelona,otro,Av Estadi 12.0 ,41.36537462912623,2.146913285556539
Col·legi Oficial de Metges de Barcelona,otro,Pg Bonanova 47.0 ,41.404236241777,2.129341454867993
Velodrom Municipal d'Horta Miquel Poblet,otro,Pg Vall d'Hebron 185.0 ,41.43723757663772,2.1495946440435265
Restaurant Can Travi Nou,Restaurant,C Jorge Manrique nan ,41.43139726568915,2.150432990990598
Parròquia de la Santíssima Trinitat,Parròquia,C Turó de la Trinitat 30.0 ,41.45031653850258,2.1904799871347125
Poble Espanyol de Barcelona,otro,Avinguda de Francesc Ferrer i Guàrdia 13.0 ,41.36914809976752,2.1467430809493484
Casal Sant Jordi,otro,Pau Claris 81.0 ,41.38944576760637,2.1713337865477698
Mercat Boqueria - Sant Josep,Mercat,Carrer la Rambla 89.0 ,41.38204889437501,2.17227075910574
Mercat Santa Caterina,Mercat,Av Francesc Cambó 16.0 ,41.38639488164491,2.1781771121189712
Mercat Hostafrancs,Mercat,Carrer de la Creu Coberta 93.0 ,41.37516234439833,2.143853943380838
Casa Bonaventura Ferrer,otro,Pg Gràcia 113.0 ,41.39697639977114,2.158479593916247
Mercat Sants,Mercat,C Sant Jordi 6.0 ,41.37474144032811,2.133754628418325
Hospital del Mar,otro,Passeig Marítim de la Barceloneta - Oriol Bohigas 25.0 ,41.38343360981442,2.1946836219941206
Club Natació Atlètic - Barceloneta,Club,Pl Mar 1.0 ,41.37344433423628,2.1886847497193758
Centre Comercial Arenas de Barcelona,Centre,G.V. Corts Catalanes 373.0 ,41.376038338441205,2.1499752959539173
Museu del Modernisme de Barcelona,Museu,C Balmes 48.0 ,41.38890739636273,2.163402681362388
